id,sector,town,region,search_query,google_maps_url,why_good_fit,likely_decision_maker,practice_name,website,public_phone,public_email_or_contact_form,status,notes
L001,Private Dental Practice,Newbury,South East England,private dental practice in Newbury,https://www.google.com/maps/search/private+dental+practice+in+Newbury,"Missed calls = lost high-value private treatment bookings (implants, Invisalign, hygiene).",Practice owner / Practice manager,,,,,to_research,
L002,Private GP Clinic,Newbury,South East England,private GP clinic in Newbury,https://www.google.com/maps/search/private+GP+clinic+in+Newbury,Self-pay patients expect instant response; after-hours enquiries go unanswered.,Practice manager / Clinic director,,,,,to_research,
L003,Physiotherapy Clinic,Newbury,South East England,physiotherapy clinic in Newbury,https://www.google.com/maps/search/physiotherapy+clinic+in+Newbury,Solo/small teams are with patients all day and can't answer the phone — books stay empty.,Clinic owner / Lead physiotherapist,,,,,to_research,
L004,Veterinary Clinic,Newbury,South East England,veterinary practice in Newbury,https://www.google.com/maps/search/veterinary+practice+in+Newbury,"High call volume, anxious owners, out-of-hours triage — reception is constantly overwhelmed.",Practice manager / Head vet,,,,,to_research,
L005,Private Dental Practice,Reading,South East England,private dental practice in Reading,https://www.google.com/maps/search/private+dental+practice+in+Reading,"Missed calls = lost high-value private treatment bookings (implants, Invisalign, hygiene).",Practice owner / Practice manager,,,,,to_research,
L006,Private GP Clinic,Reading,South East England,private GP clinic in Reading,https://www.google.com/maps/search/private+GP+clinic+in+Reading,Self-pay patients expect instant response; after-hours enquiries go unanswered.,Practice manager / Clinic director,,,,,to_research,
L007,Physiotherapy Clinic,Reading,South East England,physiotherapy clinic in Reading,https://www.google.com/maps/search/physiotherapy+clinic+in+Reading,Solo/small teams are with patients all day and can't answer the phone — books stay empty.,Clinic owner / Lead physiotherapist,,,,,to_research,
L008,Veterinary Clinic,Reading,South East England,veterinary practice in Reading,https://www.google.com/maps/search/veterinary+practice+in+Reading,"High call volume, anxious owners, out-of-hours triage — reception is constantly overwhelmed.",Practice manager / Head vet,,,,,to_research,
L009,Private Dental Practice,Basingstoke,South East England,private dental practice in Basingstoke,https://www.google.com/maps/search/private+dental+practice+in+Basingstoke,"Missed calls = lost high-value private treatment bookings (implants, Invisalign, hygiene).",Practice owner / Practice manager,,,,,to_research,
L010,Private GP Clinic,Basingstoke,South East England,private GP clinic in Basingstoke,https://www.google.com/maps/search/private+GP+clinic+in+Basingstoke,Self-pay patients expect instant response; after-hours enquiries go unanswered.,Practice manager / Clinic director,,,,,to_research,
L011,Physiotherapy Clinic,Basingstoke,South East England,physiotherapy clinic in Basingstoke,https://www.google.com/maps/search/physiotherapy+clinic+in+Basingstoke,Solo/small teams are with patients all day and can't answer the phone — books stay empty.,Clinic owner / Lead physiotherapist,,,,,to_research,
L012,Veterinary Clinic,Basingstoke,South East England,veterinary practice in Basingstoke,https://www.google.com/maps/search/veterinary+practice+in+Basingstoke,"High call volume, anxious owners, out-of-hours triage — reception is constantly overwhelmed.",Practice manager / Head vet,,,,,to_research,
L013,Private Dental Practice,Oxford,South East England,private dental practice in Oxford,https://www.google.com/maps/search/private+dental+practice+in+Oxford,"Missed calls = lost high-value private treatment bookings (implants, Invisalign, hygiene).",Practice owner / Practice manager,,,,,to_research,
L014,Private GP Clinic,Oxford,South East England,private GP clinic in Oxford,https://www.google.com/maps/search/private+GP+clinic+in+Oxford,Self-pay patients expect instant response; after-hours enquiries go unanswered.,Practice manager / Clinic director,,,,,to_research,
L015,Physiotherapy Clinic,Oxford,South East England,physiotherapy clinic in Oxford,https://www.google.com/maps/search/physiotherapy+clinic+in+Oxford,Solo/small teams are with patients all day and can't answer the phone — books stay empty.,Clinic owner / Lead physiotherapist,,,,,to_research,
L016,Veterinary Clinic,Oxford,South East England,veterinary practice in Oxford,https://www.google.com/maps/search/veterinary+practice+in+Oxford,"High call volume, anxious owners, out-of-hours triage — reception is constantly overwhelmed.",Practice manager / Head vet,,,,,to_research,
L017,Private Dental Practice,Swindon,South West England,private dental practice in Swindon,https://www.google.com/maps/search/private+dental+practice+in+Swindon,"Missed calls = lost high-value private treatment bookings (implants, Invisalign, hygiene).",Practice owner / Practice manager,,,,,to_research,
L018,Private GP Clinic,Swindon,South West England,private GP clinic in Swindon,https://www.google.com/maps/search/private+GP+clinic+in+Swindon,Self-pay patients expect instant response; after-hours enquiries go unanswered.,Practice manager / Clinic director,,,,,to_research,
L019,Physiotherapy Clinic,Swindon,South West England,physiotherapy clinic in Swindon,https://www.google.com/maps/search/physiotherapy+clinic+in+Swindon,Solo/small teams are with patients all day and can't answer the phone — books stay empty.,Clinic owner / Lead physiotherapist,,,,,to_research,
L020,Veterinary Clinic,Swindon,South West England,veterinary practice in Swindon,https://www.google.com/maps/search/veterinary+practice+in+Swindon,"High call volume, anxious owners, out-of-hours triage — reception is constantly overwhelmed.",Practice manager / Head vet,,,,,to_research,
L021,Private Dental Practice,Bath,South West England,private dental practice in Bath,https://www.google.com/maps/search/private+dental+practice+in+Bath,"Missed calls = lost high-value private treatment bookings (implants, Invisalign, hygiene).",Practice owner / Practice manager,,,,,to_research,
L022,Private GP Clinic,Bath,South West England,private GP clinic in Bath,https://www.google.com/maps/search/private+GP+clinic+in+Bath,Self-pay patients expect instant response; after-hours enquiries go unanswered.,Practice manager / Clinic director,,,,,to_research,
L023,Physiotherapy Clinic,Bath,South West England,physiotherapy clinic in Bath,https://www.google.com/maps/search/physiotherapy+clinic+in+Bath,Solo/small teams are with patients all day and can't answer the phone — books stay empty.,Clinic owner / Lead physiotherapist,,,,,to_research,
L024,Veterinary Clinic,Bath,South West England,veterinary practice in Bath,https://www.google.com/maps/search/veterinary+practice+in+Bath,"High call volume, anxious owners, out-of-hours triage — reception is constantly overwhelmed.",Practice manager / Head vet,,,,,to_research,
L025,Private Dental Practice,Bristol,South West England,private dental practice in Bristol,https://www.google.com/maps/search/private+dental+practice+in+Bristol,"Missed calls = lost high-value private treatment bookings (implants, Invisalign, hygiene).",Practice owner / Practice manager,,,,,to_research,
L026,Private GP Clinic,Bristol,South West England,private GP clinic in Bristol,https://www.google.com/maps/search/private+GP+clinic+in+Bristol,Self-pay patients expect instant response; after-hours enquiries go unanswered.,Practice manager / Clinic director,,,,,to_research,
L027,Physiotherapy Clinic,Bristol,South West England,physiotherapy clinic in Bristol,https://www.google.com/maps/search/physiotherapy+clinic+in+Bristol,Solo/small teams are with patients all day and can't answer the phone — books stay empty.,Clinic owner / Lead physiotherapist,,,,,to_research,
L028,Veterinary Clinic,Bristol,South West England,veterinary practice in Bristol,https://www.google.com/maps/search/veterinary+practice+in+Bristol,"High call volume, anxious owners, out-of-hours triage — reception is constantly overwhelmed.",Practice manager / Head vet,,,,,to_research,
L029,Private Dental Practice,Guildford,South East England,private dental practice in Guildford,https://www.google.com/maps/search/private+dental+practice+in+Guildford,"Missed calls = lost high-value private treatment bookings (implants, Invisalign, hygiene).",Practice owner / Practice manager,,,,,to_research,
L030,Private GP Clinic,Guildford,South East England,private GP clinic in Guildford,https://www.google.com/maps/search/private+GP+clinic+in+Guildford,Self-pay patients expect instant response; after-hours enquiries go unanswered.,Practice manager / Clinic director,,,,,to_research,
L031,Physiotherapy Clinic,Guildford,South East England,physiotherapy clinic in Guildford,https://www.google.com/maps/search/physiotherapy+clinic+in+Guildford,Solo/small teams are with patients all day and can't answer the phone — books stay empty.,Clinic owner / Lead physiotherapist,,,,,to_research,
L032,Veterinary Clinic,Guildford,South East England,veterinary practice in Guildford,https://www.google.com/maps/search/veterinary+practice+in+Guildford,"High call volume, anxious owners, out-of-hours triage — reception is constantly overwhelmed.",Practice manager / Head vet,,,,,to_research,
L033,Private Dental Practice,Winchester,South East England,private dental practice in Winchester,https://www.google.com/maps/search/private+dental+practice+in+Winchester,"Missed calls = lost high-value private treatment bookings (implants, Invisalign, hygiene).",Practice owner / Practice manager,,,,,to_research,
L034,Private GP Clinic,Winchester,South East England,private GP clinic in Winchester,https://www.google.com/maps/search/private+GP+clinic+in+Winchester,Self-pay patients expect instant response; after-hours enquiries go unanswered.,Practice manager / Clinic director,,,,,to_research,
L035,Physiotherapy Clinic,Winchester,South East England,physiotherapy clinic in Winchester,https://www.google.com/maps/search/physiotherapy+clinic+in+Winchester,Solo/small teams are with patients all day and can't answer the phone — books stay empty.,Clinic owner / Lead physiotherapist,,,,,to_research,
L036,Veterinary Clinic,Winchester,South East England,veterinary practice in Winchester,https://www.google.com/maps/search/veterinary+practice+in+Winchester,"High call volume, anxious owners, out-of-hours triage — reception is constantly overwhelmed.",Practice manager / Head vet,,,,,to_research,
L037,Private Dental Practice,Southampton,South East England,private dental practice in Southampton,https://www.google.com/maps/search/private+dental+practice+in+Southampton,"Missed calls = lost high-value private treatment bookings (implants, Invisalign, hygiene).",Practice owner / Practice manager,,,,,to_research,
L038,Private GP Clinic,Southampton,South East England,private GP clinic in Southampton,https://www.google.com/maps/search/private+GP+clinic+in+Southampton,Self-pay patients expect instant response; after-hours enquiries go unanswered.,Practice manager / Clinic director,,,,,to_research,
L039,Physiotherapy Clinic,Southampton,South East England,physiotherapy clinic in Southampton,https://www.google.com/maps/search/physiotherapy+clinic+in+Southampton,Solo/small teams are with patients all day and can't answer the phone — books stay empty.,Clinic owner / Lead physiotherapist,,,,,to_research,
L040,Veterinary Clinic,Southampton,South East England,veterinary practice in Southampton,https://www.google.com/maps/search/veterinary+practice+in+Southampton,"High call volume, anxious owners, out-of-hours triage — reception is constantly overwhelmed.",Practice manager / Head vet,,,,,to_research,
L041,Private Dental Practice,Brighton,South East England,private dental practice in Brighton,https://www.google.com/maps/search/private+dental+practice+in+Brighton,"Missed calls = lost high-value private treatment bookings (implants, Invisalign, hygiene).",Practice owner / Practice manager,,,,,to_research,
L042,Private GP Clinic,Brighton,South East England,private GP clinic in Brighton,https://www.google.com/maps/search/private+GP+clinic+in+Brighton,Self-pay patients expect instant response; after-hours enquiries go unanswered.,Practice manager / Clinic director,,,,,to_research,
L043,Physiotherapy Clinic,Brighton,South East England,physiotherapy clinic in Brighton,https://www.google.com/maps/search/physiotherapy+clinic+in+Brighton,Solo/small teams are with patients all day and can't answer the phone — books stay empty.,Clinic owner / Lead physiotherapist,,,,,to_research,
L044,Veterinary Clinic,Brighton,South East England,veterinary practice in Brighton,https://www.google.com/maps/search/veterinary+practice+in+Brighton,"High call volume, anxious owners, out-of-hours triage — reception is constantly overwhelmed.",Practice manager / Head vet,,,,,to_research,
L045,Private Dental Practice,Cambridge,East of England,private dental practice in Cambridge,https://www.google.com/maps/search/private+dental+practice+in+Cambridge,"Missed calls = lost high-value private treatment bookings (implants, Invisalign, hygiene).",Practice owner / Practice manager,,,,,to_research,
L046,Private GP Clinic,Cambridge,East of England,private GP clinic in Cambridge,https://www.google.com/maps/search/private+GP+clinic+in+Cambridge,Self-pay patients expect instant response; after-hours enquiries go unanswered.,Practice manager / Clinic director,,,,,to_research,
L047,Physiotherapy Clinic,Cambridge,East of England,physiotherapy clinic in Cambridge,https://www.google.com/maps/search/physiotherapy+clinic+in+Cambridge,Solo/small teams are with patients all day and can't answer the phone — books stay empty.,Clinic owner / Lead physiotherapist,,,,,to_research,
L048,Veterinary Clinic,Cambridge,East of England,veterinary practice in Cambridge,https://www.google.com/maps/search/veterinary+practice+in+Cambridge,"High call volume, anxious owners, out-of-hours triage — reception is constantly overwhelmed.",Practice manager / Head vet,,,,,to_research,
L049,Private Dental Practice,Norwich,East of England,private dental practice in Norwich,https://www.google.com/maps/search/private+dental+practice+in+Norwich,"Missed calls = lost high-value private treatment bookings (implants, Invisalign, hygiene).",Practice owner / Practice manager,,,,,to_research,
L050,Private GP Clinic,Norwich,East of England,private GP clinic in Norwich,https://www.google.com/maps/search/private+GP+clinic+in+Norwich,Self-pay patients expect instant response; after-hours enquiries go unanswered.,Practice manager / Clinic director,,,,,to_research,
L051,Physiotherapy Clinic,Norwich,East of England,physiotherapy clinic in Norwich,https://www.google.com/maps/search/physiotherapy+clinic+in+Norwich,Solo/small teams are with patients all day and can't answer the phone — books stay empty.,Clinic owner / Lead physiotherapist,,,,,to_research,
L052,Veterinary Clinic,Norwich,East of England,veterinary practice in Norwich,https://www.google.com/maps/search/veterinary+practice+in+Norwich,"High call volume, anxious owners, out-of-hours triage — reception is constantly overwhelmed.",Practice manager / Head vet,,,,,to_research,
L053,Private Dental Practice,Nottingham,East Midlands,private dental practice in Nottingham,https://www.google.com/maps/search/private+dental+practice+in+Nottingham,"Missed calls = lost high-value private treatment bookings (implants, Invisalign, hygiene).",Practice owner / Practice manager,,,,,to_research,
L054,Private GP Clinic,Nottingham,East Midlands,private GP clinic in Nottingham,https://www.google.com/maps/search/private+GP+clinic+in+Nottingham,Self-pay patients expect instant response; after-hours enquiries go unanswered.,Practice manager / Clinic director,,,,,to_research,
L055,Physiotherapy Clinic,Nottingham,East Midlands,physiotherapy clinic in Nottingham,https://www.google.com/maps/search/physiotherapy+clinic+in+Nottingham,Solo/small teams are with patients all day and can't answer the phone — books stay empty.,Clinic owner / Lead physiotherapist,,,,,to_research,
L056,Veterinary Clinic,Nottingham,East Midlands,veterinary practice in Nottingham,https://www.google.com/maps/search/veterinary+practice+in+Nottingham,"High call volume, anxious owners, out-of-hours triage — reception is constantly overwhelmed.",Practice manager / Head vet,,,,,to_research,
L057,Private Dental Practice,Leicester,East Midlands,private dental practice in Leicester,https://www.google.com/maps/search/private+dental+practice+in+Leicester,"Missed calls = lost high-value private treatment bookings (implants, Invisalign, hygiene).",Practice owner / Practice manager,,,,,to_research,
L058,Private GP Clinic,Leicester,East Midlands,private GP clinic in Leicester,https://www.google.com/maps/search/private+GP+clinic+in+Leicester,Self-pay patients expect instant response; after-hours enquiries go unanswered.,Practice manager / Clinic director,,,,,to_research,
L059,Physiotherapy Clinic,Leicester,East Midlands,physiotherapy clinic in Leicester,https://www.google.com/maps/search/physiotherapy+clinic+in+Leicester,Solo/small teams are with patients all day and can't answer the phone — books stay empty.,Clinic owner / Lead physiotherapist,,,,,to_research,
L060,Veterinary Clinic,Leicester,East Midlands,veterinary practice in Leicester,https://www.google.com/maps/search/veterinary+practice+in+Leicester,"High call volume, anxious owners, out-of-hours triage — reception is constantly overwhelmed.",Practice manager / Head vet,,,,,to_research,
L061,Private Dental Practice,Birmingham,West Midlands,private dental practice in Birmingham,https://www.google.com/maps/search/private+dental+practice+in+Birmingham,"Missed calls = lost high-value private treatment bookings (implants, Invisalign, hygiene).",Practice owner / Practice manager,,,,,to_research,
L062,Private GP Clinic,Birmingham,West Midlands,private GP clinic in Birmingham,https://www.google.com/maps/search/private+GP+clinic+in+Birmingham,Self-pay patients expect instant response; after-hours enquiries go unanswered.,Practice manager / Clinic director,,,,,to_research,
L063,Physiotherapy Clinic,Birmingham,West Midlands,physiotherapy clinic in Birmingham,https://www.google.com/maps/search/physiotherapy+clinic+in+Birmingham,Solo/small teams are with patients all day and can't answer the phone — books stay empty.,Clinic owner / Lead physiotherapist,,,,,to_research,
L064,Veterinary Clinic,Birmingham,West Midlands,veterinary practice in Birmingham,https://www.google.com/maps/search/veterinary+practice+in+Birmingham,"High call volume, anxious owners, out-of-hours triage — reception is constantly overwhelmed.",Practice manager / Head vet,,,,,to_research,
L065,Private Dental Practice,Coventry,West Midlands,private dental practice in Coventry,https://www.google.com/maps/search/private+dental+practice+in+Coventry,"Missed calls = lost high-value private treatment bookings (implants, Invisalign, hygiene).",Practice owner / Practice manager,,,,,to_research,
L066,Private GP Clinic,Coventry,West Midlands,private GP clinic in Coventry,https://www.google.com/maps/search/private+GP+clinic+in+Coventry,Self-pay patients expect instant response; after-hours enquiries go unanswered.,Practice manager / Clinic director,,,,,to_research,
L067,Physiotherapy Clinic,Coventry,West Midlands,physiotherapy clinic in Coventry,https://www.google.com/maps/search/physiotherapy+clinic+in+Coventry,Solo/small teams are with patients all day and can't answer the phone — books stay empty.,Clinic owner / Lead physiotherapist,,,,,to_research,
L068,Veterinary Clinic,Coventry,West Midlands,veterinary practice in Coventry,https://www.google.com/maps/search/veterinary+practice+in+Coventry,"High call volume, anxious owners, out-of-hours triage — reception is constantly overwhelmed.",Practice manager / Head vet,,,,,to_research,
L069,Private Dental Practice,Manchester,North West England,private dental practice in Manchester,https://www.google.com/maps/search/private+dental+practice+in+Manchester,"Missed calls = lost high-value private treatment bookings (implants, Invisalign, hygiene).",Practice owner / Practice manager,,,,,to_research,
L070,Private GP Clinic,Manchester,North West England,private GP clinic in Manchester,https://www.google.com/maps/search/private+GP+clinic+in+Manchester,Self-pay patients expect instant response; after-hours enquiries go unanswered.,Practice manager / Clinic director,,,,,to_research,
L071,Physiotherapy Clinic,Manchester,North West England,physiotherapy clinic in Manchester,https://www.google.com/maps/search/physiotherapy+clinic+in+Manchester,Solo/small teams are with patients all day and can't answer the phone — books stay empty.,Clinic owner / Lead physiotherapist,,,,,to_research,
L072,Veterinary Clinic,Manchester,North West England,veterinary practice in Manchester,https://www.google.com/maps/search/veterinary+practice+in+Manchester,"High call volume, anxious owners, out-of-hours triage — reception is constantly overwhelmed.",Practice manager / Head vet,,,,,to_research,
L073,Private Dental Practice,Leeds,Yorkshire,private dental practice in Leeds,https://www.google.com/maps/search/private+dental+practice+in+Leeds,"Missed calls = lost high-value private treatment bookings (implants, Invisalign, hygiene).",Practice owner / Practice manager,,,,,to_research,
L074,Private GP Clinic,Leeds,Yorkshire,private GP clinic in Leeds,https://www.google.com/maps/search/private+GP+clinic+in+Leeds,Self-pay patients expect instant response; after-hours enquiries go unanswered.,Practice manager / Clinic director,,,,,to_research,
L075,Physiotherapy Clinic,Leeds,Yorkshire,physiotherapy clinic in Leeds,https://www.google.com/maps/search/physiotherapy+clinic+in+Leeds,Solo/small teams are with patients all day and can't answer the phone — books stay empty.,Clinic owner / Lead physiotherapist,,,,,to_research,
L076,Veterinary Clinic,Leeds,Yorkshire,veterinary practice in Leeds,https://www.google.com/maps/search/veterinary+practice+in+Leeds,"High call volume, anxious owners, out-of-hours triage — reception is constantly overwhelmed.",Practice manager / Head vet,,,,,to_research,
L077,Private Dental Practice,Sheffield,Yorkshire,private dental practice in Sheffield,https://www.google.com/maps/search/private+dental+practice+in+Sheffield,"Missed calls = lost high-value private treatment bookings (implants, Invisalign, hygiene).",Practice owner / Practice manager,,,,,to_research,
L078,Private GP Clinic,Sheffield,Yorkshire,private GP clinic in Sheffield,https://www.google.com/maps/search/private+GP+clinic+in+Sheffield,Self-pay patients expect instant response; after-hours enquiries go unanswered.,Practice manager / Clinic director,,,,,to_research,
L079,Physiotherapy Clinic,Sheffield,Yorkshire,physiotherapy clinic in Sheffield,https://www.google.com/maps/search/physiotherapy+clinic+in+Sheffield,Solo/small teams are with patients all day and can't answer the phone — books stay empty.,Clinic owner / Lead physiotherapist,,,,,to_research,
L080,Veterinary Clinic,Sheffield,Yorkshire,veterinary practice in Sheffield,https://www.google.com/maps/search/veterinary+practice+in+Sheffield,"High call volume, anxious owners, out-of-hours triage — reception is constantly overwhelmed.",Practice manager / Head vet,,,,,to_research,
L081,Private Dental Practice,Liverpool,North West England,private dental practice in Liverpool,https://www.google.com/maps/search/private+dental+practice+in+Liverpool,"Missed calls = lost high-value private treatment bookings (implants, Invisalign, hygiene).",Practice owner / Practice manager,,,,,to_research,
L082,Private GP Clinic,Liverpool,North West England,private GP clinic in Liverpool,https://www.google.com/maps/search/private+GP+clinic+in+Liverpool,Self-pay patients expect instant response; after-hours enquiries go unanswered.,Practice manager / Clinic director,,,,,to_research,
L083,Physiotherapy Clinic,Liverpool,North West England,physiotherapy clinic in Liverpool,https://www.google.com/maps/search/physiotherapy+clinic+in+Liverpool,Solo/small teams are with patients all day and can't answer the phone — books stay empty.,Clinic owner / Lead physiotherapist,,,,,to_research,
L084,Veterinary Clinic,Liverpool,North West England,veterinary practice in Liverpool,https://www.google.com/maps/search/veterinary+practice+in+Liverpool,"High call volume, anxious owners, out-of-hours triage — reception is constantly overwhelmed.",Practice manager / Head vet,,,,,to_research,
L085,Private Dental Practice,Newcastle upon Tyne,North East England,private dental practice in Newcastle upon Tyne,https://www.google.com/maps/search/private+dental+practice+in+Newcastle+upon+Tyne,"Missed calls = lost high-value private treatment bookings (implants, Invisalign, hygiene).",Practice owner / Practice manager,,,,,to_research,
L086,Private GP Clinic,Newcastle upon Tyne,North East England,private GP clinic in Newcastle upon Tyne,https://www.google.com/maps/search/private+GP+clinic+in+Newcastle+upon+Tyne,Self-pay patients expect instant response; after-hours enquiries go unanswered.,Practice manager / Clinic director,,,,,to_research,
L087,Physiotherapy Clinic,Newcastle upon Tyne,North East England,physiotherapy clinic in Newcastle upon Tyne,https://www.google.com/maps/search/physiotherapy+clinic+in+Newcastle+upon+Tyne,Solo/small teams are with patients all day and can't answer the phone — books stay empty.,Clinic owner / Lead physiotherapist,,,,,to_research,
L088,Veterinary Clinic,Newcastle upon Tyne,North East England,veterinary practice in Newcastle upon Tyne,https://www.google.com/maps/search/veterinary+practice+in+Newcastle+upon+Tyne,"High call volume, anxious owners, out-of-hours triage — reception is constantly overwhelmed.",Practice manager / Head vet,,,,,to_research,
L089,Private Dental Practice,York,Yorkshire,private dental practice in York,https://www.google.com/maps/search/private+dental+practice+in+York,"Missed calls = lost high-value private treatment bookings (implants, Invisalign, hygiene).",Practice owner / Practice manager,,,,,to_research,
L090,Private GP Clinic,York,Yorkshire,private GP clinic in York,https://www.google.com/maps/search/private+GP+clinic+in+York,Self-pay patients expect instant response; after-hours enquiries go unanswered.,Practice manager / Clinic director,,,,,to_research,
L091,Physiotherapy Clinic,York,Yorkshire,physiotherapy clinic in York,https://www.google.com/maps/search/physiotherapy+clinic+in+York,Solo/small teams are with patients all day and can't answer the phone — books stay empty.,Clinic owner / Lead physiotherapist,,,,,to_research,
L092,Veterinary Clinic,York,Yorkshire,veterinary practice in York,https://www.google.com/maps/search/veterinary+practice+in+York,"High call volume, anxious owners, out-of-hours triage — reception is constantly overwhelmed.",Practice manager / Head vet,,,,,to_research,
L093,Private Dental Practice,Cardiff,Wales,private dental practice in Cardiff,https://www.google.com/maps/search/private+dental+practice+in+Cardiff,"Missed calls = lost high-value private treatment bookings (implants, Invisalign, hygiene).",Practice owner / Practice manager,,,,,to_research,
L094,Private GP Clinic,Cardiff,Wales,private GP clinic in Cardiff,https://www.google.com/maps/search/private+GP+clinic+in+Cardiff,Self-pay patients expect instant response; after-hours enquiries go unanswered.,Practice manager / Clinic director,,,,,to_research,
L095,Physiotherapy Clinic,Cardiff,Wales,physiotherapy clinic in Cardiff,https://www.google.com/maps/search/physiotherapy+clinic+in+Cardiff,Solo/small teams are with patients all day and can't answer the phone — books stay empty.,Clinic owner / Lead physiotherapist,,,,,to_research,
L096,Veterinary Clinic,Cardiff,Wales,veterinary practice in Cardiff,https://www.google.com/maps/search/veterinary+practice+in+Cardiff,"High call volume, anxious owners, out-of-hours triage — reception is constantly overwhelmed.",Practice manager / Head vet,,,,,to_research,
L097,Private Dental Practice,Edinburgh,Scotland,private dental practice in Edinburgh,https://www.google.com/maps/search/private+dental+practice+in+Edinburgh,"Missed calls = lost high-value private treatment bookings (implants, Invisalign, hygiene).",Practice owner / Practice manager,,,,,to_research,
L098,Private GP Clinic,Edinburgh,Scotland,private GP clinic in Edinburgh,https://www.google.com/maps/search/private+GP+clinic+in+Edinburgh,Self-pay patients expect instant response; after-hours enquiries go unanswered.,Practice manager / Clinic director,,,,,to_research,
L099,Physiotherapy Clinic,Edinburgh,Scotland,physiotherapy clinic in Edinburgh,https://www.google.com/maps/search/physiotherapy+clinic+in+Edinburgh,Solo/small teams are with patients all day and can't answer the phone — books stay empty.,Clinic owner / Lead physiotherapist,,,,,to_research,
L100,Veterinary Clinic,Edinburgh,Scotland,veterinary practice in Edinburgh,https://www.google.com/maps/search/veterinary+practice+in+Edinburgh,"High call volume, anxious owners, out-of-hours triage — reception is constantly overwhelmed.",Practice manager / Head vet,,,,,to_research,
